captured_at_jst,http_last_modified,bytes,sha1_8,mean_all,dark,far_mean,far_sd,mid_mean,mid_sd,near_mean,near_sd,far_over_near,far_lc,mid_lc,near_lc,label,note
2026-09-07 17:58,"Mon, 07 Sep 2026 08:50:01 GMT",46599,B23452A8,140.5,0,140.4,20.04,129.8,29.63,151.4,40.08,0.500,,,,,
2026-09-07 18:02,"Mon, 07 Sep 2026 09:00:01 GMT",23741,84008AB5,157.1,0,173.1,16.00,173.8,13.45,124.4,17.20,0.930,0.05,0.14,0.81,濃霧,
2026-09-07 18:50,"Mon, 07 Sep 2026 09:50:01 GMT",59917,C30D1C36,74.7,1,69.5,12.07,78.7,10.32,75.8,10.39,1.162,5.83,6.14,6.07,,
2026-09-07 19:50,"Mon, 07 Sep 2026 10:50:01 GMT",46184,2E1A5958,28.3,1,27.4,6.20,27.9,9.68,29.5,6.42,0.967,3.74,3.68,3.87,,
2026-09-07 20:50,"Mon, 07 Sep 2026 11:50:01 GMT",46091,17C351A1,27.9,1,26.9,5.92,27.4,6.54,29.4,6.39,0.926,3.63,3.64,3.88,,
2026-09-07 21:50,"Mon, 07 Sep 2026 12:50:01 GMT",45729,8D2E5EFF,27.8,1,26.9,6.05,27.1,6.02,29.2,6.30,0.960,3.68,3.59,3.84,,
2026-09-07 22:50,"Mon, 07 Sep 2026 13:50:01 GMT",46005,18EDF28E,27.7,1,26.5,5.86,27.2,6.11,29.4,6.34,0.926,3.57,3.62,3.81,,
2026-09-07 23:50,"Mon, 07 Sep 2026 14:50:00 GMT",45847,1AE178C3,27.4,1,26.4,6.02,26.9,6.05,29.0,6.37,0.945,3.63,3.59,3.85,,
2026-09-08 00:50,"Mon, 07 Sep 2026 15:50:01 GMT",46576,1FD2192E,28.1,1,27.4,6.12,27.4,6.21,29.7,6.43,0.951,3.68,3.70,3.92,,
2026-09-08 01:50,"Mon, 07 Sep 2026 16:50:01 GMT",46265,788E62A8,27.8,1,26.7,6.02,27.1,6.13,29.5,6.38,0.943,3.58,3.62,3.80,,
2026-09-08 02:50,"Mon, 07 Sep 2026 17:50:01 GMT",46436,0B892681,28.0,1,27.1,6.27,27.5,6.13,29.4,6.38,0.984,3.79,3.69,3.90,,
2026-09-08 03:50,"Mon, 07 Sep 2026 18:50:01 GMT",46421,15536513,28.2,1,27.1,5.95,27.7,6.11,29.8,6.42,0.926,3.65,3.64,3.89,,
2026-09-08 04:50,"Mon, 07 Sep 2026 19:50:01 GMT",46165,BD44C5FC,28.3,1,27.2,5.98,27.6,6.11,29.9,6.35,0.942,3.55,3.69,3.88,,
2026-09-08 05:50,"Mon, 07 Sep 2026 20:50:01 GMT",20785,B787FAE6,154.6,0,166.7,16.81,173.2,10.21,123.9,13.27,1.267,0.06,0.07,0.33,濃霧,
2026-09-08 06:50,"Mon, 07 Sep 2026 21:50:00 GMT",22211,70C5D474,158.1,0,176.0,15.80,175.8,13.66,122.4,14.63,1.080,0.05,0.09,0.53,濃霧,
2026-09-08 07:50,"Mon, 07 Sep 2026 22:50:01 GMT",46332,C9280124,150.5,0,163.7,10.65,141.5,30.05,146.4,40.32,0.264,0.89,3.07,2.84,靄,
2026-09-08 08:50,"Mon, 07 Sep 2026 23:50:01 GMT",23715,CF55E2BE,155.8,0,170.0,16.01,169.8,14.32,127.7,14.85,1.078,0.04,0.16,0.72,濃霧,
2026-09-08 09:50,"Tue, 08 Sep 2026 00:50:01 GMT",31463,E138709D,154.9,0,171.5,10.17,155.2,14.50,138.0,24.31,0.419,0.28,0.81,1.44,薄霧,
2026-09-08 10:50,"Tue, 08 Sep 2026 01:50:01 GMT",39983,AA97FC3F,163.0,0,199.4,13.81,161.5,36.92,128.1,42.09,0.328,0.09,1.36,2.94,靄,
2026-09-08 11:50,"Tue, 08 Sep 2026 02:50:01 GMT",19871,4AA2EB09,152.2,0,160.5,16.95,170.9,8.37,125.2,12.43,1.363,0.05,0.05,0.25,濃霧,
2026-09-08 12:50,"Tue, 08 Sep 2026 03:50:01 GMT",24066,DB6C7979,157.7,0,177.1,15.36,174.4,15.54,121.8,17.01,0.903,0.07,0.14,0.80,濃霧,
2026-09-08 13:50,"Tue, 08 Sep 2026 04:50:00 GMT",21228,5421B0E7,153.7,0,167.1,16.89,171.4,11.07,122.5,14.01,1.206,0.06,0.07,0.42,濃霧,
2026-09-08 14:50,"Tue, 08 Sep 2026 05:50:01 GMT",51406,26918101,132.9,0,120.2,17.10,127.9,33.41,150.7,46.09,0.371,1.72,4.07,3.08,靄,
2026-09-08 15:50,"Tue, 08 Sep 2026 06:50:01 GMT",33612,9DBCA03F,156.8,0,173.9,16.12,161.4,24.78,134.9,30.56,0.528,0.12,0.95,1.83,薄霧,
2026-09-08 16:50,"Tue, 08 Sep 2026 07:50:01 GMT",35474,FD7F953A,144.8,0,139.5,14.75,149.7,17.34,145.1,29.69,0.497,0.41,1.40,1.79,薄霧,
2026-09-08 17:50,"Tue, 08 Sep 2026 08:50:01 GMT",45755,BC9D88A1,142.9,0,154.8,11.56,130.9,31.36,142.9,45.08,0.256,0.77,3.12,2.83,靄,
2026-09-08 18:50,"Tue, 08 Sep 2026 09:50:01 GMT",50348,BE1D0EE9,38.1,1,41.5,7.54,35.6,7.62,37.3,7.94,0.950,4.63,4.35,4.46,,
2026-09-08 19:50,"Tue, 08 Sep 2026 10:50:01 GMT",46168,61D04CA2,27.9,1,27.1,6.10,27.1,6.10,29.5,6.39,0.954,3.59,3.66,3.89,,
2026-09-08 20:50,"Tue, 08 Sep 2026 11:50:01 GMT",46303,AE94426C,28.2,1,27.2,5.85,27.7,6.12,29.9,6.46,0.905,3.60,3.62,3.89,,
2026-09-08 21:50,"Tue, 08 Sep 2026 12:50:01 GMT",46029,6B46658B,27.7,1,26.6,5.94,27.0,6.08,29.5,6.38,0.931,3.62,3.63,3.83,,
2026-09-08 22:50,"Tue, 08 Sep 2026 13:50:01 GMT",46055,60F22617,27.9,1,26.8,5.96,27.3,6.08,29.7,6.36,0.937,3.65,3.66,3.82,,
2026-09-08 23:50,"Tue, 08 Sep 2026 14:50:01 GMT",46101,417CC6A9,27.9,1,27.0,6.15,27.1,5.98,29.5,6.40,0.960,3.67,3.60,3.84,,
2026-09-09 00:50,"Tue, 08 Sep 2026 15:50:01 GMT",46586,F0903CC6,28.2,1,27.3,6.12,27.6,6.22,29.7,6.49,0.943,3.68,3.70,3.90,,
2026-09-09 01:50,"Tue, 08 Sep 2026 16:50:01 GMT",46393,6D164DB2,28.1,1,27.0,6.14,27.6,6.09,29.7,6.41,0.957,3.80,3.71,3.86,,
2026-09-09 02:50,"Tue, 08 Sep 2026 17:50:01 GMT",46241,A71EBAD9,28.1,1,27.1,5.91,27.5,6.06,29.8,6.38,0.926,3.57,3.72,3.83,,
2026-09-09 03:50,"Tue, 08 Sep 2026 18:50:00 GMT",46579,1A751CD9,28.3,1,27.4,6.07,27.9,6.14,29.6,6.38,0.951,3.75,3.75,3.84,,
2026-09-09 04:50,"Tue, 08 Sep 2026 19:50:01 GMT",46575,4A9F7787,28.2,1,27.2,5.94,27.8,6.24,29.6,6.45,0.921,3.72,3.75,3.89,,
2026-09-09 05:50,"Tue, 08 Sep 2026 20:50:01 GMT",22589,81B64017,144.8,0,154.3,16.86,162.7,8.45,117.5,12.11,1.392,0.24,0.21,0.57,濃霧,
2026-09-09 06:50,"Tue, 08 Sep 2026 21:50:01 GMT",21911,18336C3D,155.1,0,170.0,16.56,173.8,12.06,121.4,14.93,1.109,0.05,0.08,0.56,濃霧,
2026-09-09 07:50,"Tue, 08 Sep 2026 22:50:01 GMT",25659,0C6CF58D,160.1,0,178.8,14.78,171.1,18.65,130.4,18.60,0.795,0.05,0.24,1.01,薄霧,
2026-09-09 08:50,"Tue, 08 Sep 2026 23:50:01 GMT",23506,C2ACF66D,156.9,0,173.4,16.41,173.2,13.71,124.1,17.69,0.928,0.06,0.13,0.80,濃霧,
2026-09-09 09:50,"Wed, 09 Sep 2026 00:50:01 GMT",26012,E0062524,158.8,0,178.2,14.63,171.5,16.24,126.6,23.79,0.615,0.05,0.22,1.20,薄霧,
2026-09-09 10:50,"Wed, 09 Sep 2026 01:50:01 GMT",54825,8A00EC70,123.1,0,91.3,17.58,122.5,34.38,155.6,45.28,0.388,2.61,4.91,3.82,霧なし,
2026-09-09 11:50,"Wed, 09 Sep 2026 02:50:01 GMT",54616,1EB7CB23,123.9,0,92.8,20.91,125.5,34.40,153.5,44.74,0.467,2.47,4.83,3.50,靄,
2026-09-09 12:50,"Wed, 09 Sep 2026 03:50:01 GMT",54409,BEB3F11E,124.4,0,97.5,21.55,124.7,35.28,151.0,44.18,0.488,2.65,5.15,3.51,靄,
2026-09-09 13:50,"Wed, 09 Sep 2026 04:50:01 GMT",53294,7941049A,123.6,0,92.6,19.98,125.6,34.88,152.5,44.40,0.450,2.17,4.62,3.42,靄,
2026-09-09 14:50,"Wed, 09 Sep 2026 05:50:01 GMT",57260,57E2E760,121.8,0,96.9,20.03,117.5,35.72,151.1,56.95,0.352,2.77,4.89,4.16,霧なし,
2026-09-09 15:50,"Wed, 09 Sep 2026 06:50:01 GMT",57741,34454465,125.5,0,105.7,20.73,128.1,37.55,142.8,52.09,0.398,3.39,5.34,3.99,霧なし,
2026-09-09 16:50,"Wed, 09 Sep 2026 07:50:01 GMT",40980,899D3737,146.7,0,145.0,14.80,150.1,19.35,145.0,40.52,0.365,0.40,1.77,2.65,靄,
2026-09-09 17:50,"Wed, 09 Sep 2026 08:50:00 GMT",25380,54F611DF,153.7,0,161.5,17.98,171.5,11.18,128.3,24.40,0.737,0.07,0.14,1.05,薄霧,
2026-09-09 18:50,"Wed, 09 Sep 2026 09:50:02 GMT",58191,F93FFACF,56.9,1,45.6,9.03,60.1,32.83,65.0,21.99,0.410,4.99,5.62,5.74,,
2026-09-09 19:50,"Wed, 09 Sep 2026 10:50:01 GMT",46573,43F5160F,28.4,1,27.1,6.08,27.8,6.84,30.3,6.48,0.938,3.60,3.69,3.90,,
2026-09-09 20:50,"Wed, 09 Sep 2026 11:50:01 GMT",46232,C71E4B88,27.9,1,27.0,6.15,27.5,7.84,29.2,6.39,0.962,3.66,3.64,3.88,,
2026-09-09 21:50,"Wed, 09 Sep 2026 12:50:01 GMT",46223,39B08B72,27.9,1,26.9,6.07,27.3,6.02,29.5,6.36,0.954,3.61,3.65,3.89,,
2026-09-09 22:50,"Wed, 09 Sep 2026 13:50:01 GMT",46239,02755A61,28.0,1,27.1,6.06,27.7,6.08,29.3,6.31,0.960,3.65,3.68,3.82,,
2026-09-10 10:50,"Thu, 10 Sep 2026 01:50:01 GMT",20062,D8B19B27,154.5,0,165.4,16.84,173.9,9.12,124.1,14.13,1.192,0.07,0.05,0.32,濃霧,
2026-09-10 11:50,"Thu, 10 Sep 2026 02:50:01 GMT",19658,C720B29E,153.6,0,161.5,16.73,171.6,8.57,127.7,11.21,1.492,0.05,0.05,0.23,濃霧,
2026-09-10 12:50,"Thu, 10 Sep 2026 03:50:01 GMT",19418,2F557F45,153.2,0,160.3,17.10,171.2,7.97,128.1,11.18,1.529,0.05,0.04,0.19,濃霧,
2026-09-10 13:50,"Thu, 10 Sep 2026 04:50:01 GMT",18867,5B7DEEA8,149.4,0,153.6,16.64,166.4,6.17,128.3,10.49,1.586,0.07,0.04,0.12,濃霧,
2026-09-10 14:50,"Thu, 10 Sep 2026 05:50:00 GMT",18876,03C64E79,150.3,0,154.0,16.83,168.1,6.38,128.7,11.06,1.522,0.06,0.04,0.12,濃霧,
2026-09-10 15:50,"Thu, 10 Sep 2026 06:50:00 GMT",22202,7F52A7B8,156.0,0,170.2,16.25,174.4,11.57,123.2,13.91,1.168,0.06,0.08,0.57,濃霧,
2026-09-10 16:12,"Thu, 10 Sep 2026 07:10:01 GMT",26154,EF9E0F08,158.1,0,179.7,14.84,173.7,16.94,120.8,20.00,0.742,0.06,0.19,1.17,薄霧,
2026-09-10 16:50,"Thu, 10 Sep 2026 07:50:01 GMT",21956,55E18914,156.1,0,169.9,16.19,174.9,11.86,123.4,13.39,1.210,0.05,0.08,0.54,濃霧,
2026-09-10 16:58,"Thu, 10 Sep 2026 07:50:01 GMT",21956,55E18914,156.1,0,169.9,16.19,174.9,11.86,123.4,13.39,1.210,0.05,0.08,0.54,濃霧,
2026-09-10 17:50,"Thu, 10 Sep 2026 08:50:01 GMT",19542,2EED10B1,152.6,0,160.6,17.09,172.0,7.77,125.3,12.26,1.393,0.06,0.04,0.22,濃霧,
2026-09-10 18:50,"Thu, 10 Sep 2026 09:50:01 GMT",58489,E9480DAA,91.7,1,101.2,16.34,101.9,12.12,71.8,11.80,1.384,5.58,5.67,5.74,,
2026-09-10 19:50,"Thu, 10 Sep 2026 10:50:01 GMT",45950,C05A18A3,27.9,1,26.7,6.03,27.5,6.12,29.6,6.41,0.941,3.63,3.64,3.84,,
2026-09-10 20:50,"Thu, 10 Sep 2026 11:50:01 GMT",46504,82140E8E,28.9,1,28.0,6.25,28.3,6.17,30.5,6.47,0.965,3.72,3.72,3.98,,
2026-09-10 21:50,"Thu, 10 Sep 2026 12:50:01 GMT",46406,9EBF0BF6,29.2,1,28.2,5.98,28.5,6.20,30.8,6.51,0.919,3.73,3.74,3.92,,
2026-09-10 22:50,"Thu, 10 Sep 2026 13:50:01 GMT",46170,AD71C27D,28.0,1,27.0,6.06,27.5,6.17,29.4,6.28,0.965,3.54,3.68,3.80,,
2026-09-10 23:50,"Thu, 10 Sep 2026 14:50:01 GMT",46009,6A509D8E,27.9,1,27.1,6.04,27.3,6.08,29.4,6.33,0.954,3.62,3.58,3.88,,
2026-09-11 00:50,"Thu, 10 Sep 2026 15:50:01 GMT",46354,A0B30705,28.2,1,27.3,6.13,27.3,6.24,30.0,6.46,0.949,3.62,3.68,3.89,,
2026-09-11 01:50,"Thu, 10 Sep 2026 16:50:01 GMT",46151,E29729AC,28.2,1,27.5,6.10,27.6,6.13,29.6,6.46,0.943,3.72,3.62,3.85,,
2026-09-11 02:50,"Thu, 10 Sep 2026 17:50:01 GMT",45934,1A245195,28.0,1,27.4,5.97,27.4,6.03,29.4,6.35,0.940,3.59,3.68,3.79,,
2026-09-11 03:50,"Thu, 10 Sep 2026 18:50:01 GMT",46166,638A37E8,28.1,1,27.2,6.09,27.7,6.20,29.5,6.44,0.945,3.68,3.73,3.82,,
